Circular algorithm data and results
Data:
,100,,100s
0.0,107.628405879,0.0299999992053,101.041762617
0.0600166678429,97.0151993158,0.0900166670481,99.0955255462
0.120100001494,94.0636627052,0.150100000699,86.8588433854
0.180116665363,80.3086520598,0.210116664569,77.2132392289
0.240133333206,65.2448187423,0.270133332411,64.0788825336
0.300133331617,72.4781592083,0.330150000254,72.5330706424
0.36014999946,74.9114108513,0.390166668097,76.4657617492
0.420166667302,81.1734366569,0.450183331966,82.3632732689
0.480200000604,82.2280148421,0.510199999809,74.6396398832
0.540199999015,84.210708312,0.570216667652,83.7496097881
0.600216666857,88.3910958082,0.630283331871,88.6833296293
0.66028333505,87.463884197,0.690466666222,85.2148075994
0.720466665427,88.6415040201,0.750466664632,79.1445871805
0.78048333327,84.2343563319,0.810483332475,85.2684452341
0.840500001113,90.6148449548,0.870666666826,92.765730843
0.90068333149,97.0679953371,0.930683334668,99.4483426302
0.960699999332,107.798934376,0.990699998538,105.216411064
1.02071666718,104.748148923,1.05071666638,109.883220308
1.08071666559,111.786061553,1.11073333422,115.972124985
1.14079999924,109.260741721,1.17079999844,99.7875407535
1.20080000162,88.4597725799,1.23081666629,82.8032673629
1.26081666549,86.3324555165,1.29083333413,86.5416530336
1.32083333333,88.7126025368,1.350849998,84.746977084
1.38085000118,85.7164031736,1.41086666584,88.3039776856
1.44086666505,90.6857434642,1.47088333368,91.2810699725

Mass,-Mass,Diff,Uncert
"[u'100', u'100s', -1.7375471221365473, 2.8174654819574134]"
"[u'100', u'100s', 2.334992183898926, 6.9895079524616506]"
"[u'100', u'100s', 2.8362342629152408, 874.23180910026031]"
"[u'100', u'100s', -0.041462669894826831, 4110.2174942699849]"
"[u'100', u'100s', 1.8100084847728795, 226.72597709182881]"
Coefficient,Value
"['d_1', -2.4326997958749379]","['d_2', -0.27770493382917993]"
"['d_1', 42.811547628234138]"
"['d_1', 5087.4733523333125]","['d_2', -7360.0757117456669]","['d_3', 3513.2611483475048]"
"['d_1', -12061.61062000833]","['d_2', 12295.811781794982]","['d_3', -4139.566762401806]"
"['d_1', -432.70458758932182]","['d_2', 168.99241467526826]"
Residual : [1.6959188590320362]
